timestamp,adjusted_price
2023-12-22 00:00:00,43761.077043212164
2023-12-23 00:00:00,44014.31485078197
2023-12-24 00:00:00,43728.13012309298
2023-12-25 00:00:00,43007.399554856864
2023-12-26 00:00:00,43562.12912898767
2023-12-27 00:00:00,42450.4304062666
2023-12-28 00:00:00,43498.105162051324
2023-12-29 00:00:00,42636.68087338402
2023-12-30 00:00:00,42109.01924730788
2023-12-31 00:00:00,42233.579841749706
2024-01-01 00:00:00,42216.63591902818
2024-01-02 00:00:00,44115.574638999315
2024-01-03 00:00:00,45004.055610916526
2024-01-04 00:00:00,42762.81231922164
2024-01-05 00:00:00,44164.93054778208
2024-01-06 00:00:00,44067.18521456946
2024-01-07 00:00:00,43917.09052511399
2024-01-08 00:00:00,43856.97255662551
2024-01-09 00:00:00,46844.47439284727
2024-01-10 00:00:00,46059.97717203833
2024-01-11 00:00:00,46594.45256730014
2024-01-12 00:00:00,46310.48077163607
2024-01-13 00:00:00,42984.027226034894
2024-01-14 00:00:00,42815.49173836973
2024-01-15 00:00:00,41849.30217350753
2024-01-16 00:00:00,42616.11403436924
2024-01-17 00:00:00,43124.25072334151
2024-01-18 00:00:00,42697.54409523023
2024-01-19 00:00:00,41289.2850009546
2024-01-20 00:00:00,41554.50055561664
2024-01-21 00:00:00,41624.67216373154
2024-01-22 00:00:00,41495.116286784396
2024-01-23 00:00:00,39465.701346982474
2024-01-24 00:00:00,39700.159934176976
2024-01-25 00:00:00,40045.537295525246
2024-01-26 00:00:00,39897.30281086682
2024-01-27 00:00:00,41751.62528569297
2024-01-28 00:00:00,42003.28452972123
2024-01-29 00:00:00,41921.66807985035
2024-01-30 00:00:00,43113.024174529266
2024-01-31 00:00:00,42793.147882671794
2024-02-01 00:00:00,42504.223229124924
2024-02-02 00:00:00,42966.36831981016
2024-02-03 00:00:00,43093.85225287536
2024-02-04 00:00:00,42853.04745543016
2024-02-05 00:00:00,42571.2811409424
2024-02-06 00:00:00,42598.51447496811
2024-02-07 00:00:00,43004.70223508981
2024-02-08 00:00:00,44144.36918610532
2024-02-09 00:00:00,45156.61269767948
2024-02-10 00:00:00,47030.9678820388
2024-02-11 00:00:00,47743.45916712747
2024-02-12 00:00:00,48079.10580998327
2024-02-13 00:00:00,49960.464623521635
2024-02-14 00:00:00,49673.70401358401
2024-02-15 00:00:00,51716.4647025437
2024-02-16 00:00:00,51884.0301362213
2024-02-17 00:00:00,52141.406709829746
2024-02-18 00:00:00,51721.218914012316
2024-02-19 00:00:00,52065.726827620216
2024-02-20 00:00:00,51815.53625230362
2024-02-21 00:00:00,52314.724242799566
2024-02-22 00:00:00,51814.284735971334
2024-02-23 00:00:00,51224.16443041664
2024-02-24 00:00:00,50838.15013475632
2024-02-25 00:00:00,51614.511879525846
2024-02-26 00:00:00,51844.489947924114
2024-02-27 00:00:00,54474.895234602314
2024-02-28 00:00:00,56902.95532058005
2024-02-29 00:00:00,62389.694545505634
2024-03-01 00:00:00,61278.45906038125
2024-03-02 00:00:00,62416.953018010434
2024-03-03 00:00:00,62073.95700004967
2024-03-04 00:00:00,62902.687471637226
2024-03-05 00:00:00,67966.70373766671
2024-03-06 00:00:00,64536.612283264265
2024-03-07 00:00:00,66427.08211631718
2024-03-08 00:00:00,67331.01770856397
2024-03-09 00:00:00,68258.2106395422
2024-03-10 00:00:00,68344.94614898153
2024-03-11 00:00:00,68916.62816239487
2024-03-12 00:00:00,72173.05855866981
2024-03-13 00:00:00,71211.83611335496
2024-03-14 00:00:00,72806.20329357717
2024-03-15 00:00:00,71144.59491717238
2024-03-16 00:00:00,69077.18215995295
2024-03-17 00:00:00,65094.08062574542
2024-03-18 00:00:00,68262.96286331012
2024-03-19 00:00:00,67448.04526085824
2024-03-20 00:00:00,61784.00065145008
2024-03-21 00:00:00,67655.68281157357
2024-03-22 00:00:00,65444.837106750085
2024-03-23 00:00:00,63413.35387431135
2024-03-24 00:00:00,64404.11690562285
2024-03-25 00:00:00,67144.64679189665
2024-03-26 00:00:00,69965.05733345605
2024-03-27 00:00:00,69950.90350339952
2024-03-28 00:00:00,69379.05322294017
2024-03-29 00:00:00,70825.70305974729
2024-03-30 00:00:00,69862.62687122382
2024-03-31 00:00:00,69714.67203597908
2024-04-01 00:00:00,71251.47527536144
2024-04-02 00:00:00,69713.35329452273
2024-04-03 00:00:00,65434.79756534601
2024-04-04 00:00:00,66152.96652315544
2024-04-05 00:00:00,68471.71806628745
2024-04-06 00:00:00,67942.57209975034
2024-04-07 00:00:00,68967.84303107912
2024-04-08 00:00:00,69489.86991422613
2024-04-09 00:00:00,71671.7457087507
2024-04-10 00:00:00,69154.17564204478
2024-04-11 00:00:00,70507.63057872467
2024-04-12 00:00:00,70133.81434949784
2024-04-13 00:00:00,67236.38624313695
2024-04-14 00:00:00,64312.084484875726
2024-04-15 00:00:00,65660.38416415798
2024-04-16 00:00:00,63468.042894395294
2024-04-17 00:00:00,63708.9398243548
2024-04-18 00:00:00,61308.63324508984
2024-04-19 00:00:00,62855.84201419075
2024-04-20 00:00:00,63978.8499022686
2024-04-21 00:00:00,64890.525880074085
2024-04-22 00:00:00,65004.24862066205
2024-04-23 00:00:00,66837.32534190993
2024-04-24 00:00:00,66509.83563677587
2024-04-25 00:00:00,64265.274357000584
2024-04-26 00:00:00,64483.3024993409
2024-04-27 00:00:00,63758.12411439158
2024-04-28 00:00:00,63494.39749380903
2024-04-29 00:00:00,63055.520153120386
2024-04-30 00:00:00,63853.66240523559
2024-05-01 00:00:00,60602.6134455986
